"Row Order","Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
1,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","   Total",3526.5
2,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
3,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Generator Present",
4,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
5,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    1-unit buildings or multiunit buildings with 2 to 4 units",2673.9
6,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",429.2
7,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",2197.2
8,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",98.5
9,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
10,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Enough Non-Perishable Food for at Least 3 Days",
11,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
12,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",2627.7
13,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",827.5
14,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",86.9
15,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
16,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has at Least 3 Gallons or 24 Bottles of Water Per Person",
17,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
18,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1933.9
19,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1517.9
20,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",90.3
21,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
22,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Communication Plan if Cell Service Disrupted",
23,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
24,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",2491.8
25,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",610.8
26,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1807.2
27,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",79.3
28,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
29,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Agreed-Upon Meeting Location",
30,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
31,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",2491.8
32,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",807.0
33,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1614.4
34,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",75.8
35,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
36,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Prepared Emergency Evacuation Kit",
37,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
38,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1605.8
39,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1835.3
40,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",101.1
41,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
42,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Access to Vital Financial Information",
43,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
44,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",2720.8
45,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",727.2
46,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",94.2
47,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
48,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Assistance Needed Evacuating or Sheltering Pets",
49,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
50,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Need help evacuating or sheltering pets",321.7
51,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Do not need help with pets",1014.7
52,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No pets",2129.1
53,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",76.6
54,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
55,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Funds of up to $2,000",
56,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
57,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",2713.9
58,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",700.5
59,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",127.7
60,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
61,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Evacuation Vehicle(s) Available",
62,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
63,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",3120.2
64,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",366.6
65,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",55.4
66,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
67,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Likely Place to Stay During a 2-Week Evacuation",
68,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
69,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","With relatives or friends",2395.8
70,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Public shelter",137.0
71,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Hotel or motel",747.0
72,"AHS",2017,"Chicago","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Travel trailer or recreational vehicle","S"
