"Row Order","Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
1,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","   Total",2329.0
2,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
3,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Generator Present",
4,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
5,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    1-unit buildings or multiunit buildings with 2 to 4 units",1793.3
6,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",351.1
7,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1423.0
8,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
9,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
10,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Enough Non-Perishable Food for at Least 3 Days",
11,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
12,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1978.2
13,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",348.2
14,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
15,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
16,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has at Least 3 Gallons or 24 Bottles of Water Per Person",
17,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
18,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1706.9
19,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",616.8
20,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
21,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
22,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Communication Plan if Cell Service Disrupted",
23,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
24,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",1790.9
25,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",622.6
26,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1129.7
27,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
28,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
29,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Agreed-Upon Meeting Location",
30,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
31,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",1790.9
32,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",790.4
33,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",963.8
34,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
35,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
36,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Prepared Emergency Evacuation Kit",
37,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
38,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1586.3
39,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",731.2
40,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
41,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
42,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Access to Vital Financial Information",
43,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
44,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",2061.2
45,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",256.4
46,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
47,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
48,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Assistance Needed Evacuating or Sheltering Pets",
49,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
50,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Need help evacuating or sheltering pets",234.2
51,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Do not need help with pets",858.0
52,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No pets",1226.2
53,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
54,"AHS",2017,"Houston","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
