"Row Order","Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
1,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","   Total",4395.7
2,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
3,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Generator Present",
4,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
5,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    1-unit buildings or multiunit buildings with 2 to 4 units",3025.1
6,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",241.8
7,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",2626.8
8,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",151.1
9,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
10,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Enough Non-Perishable Food for at Least 3 Days",
11,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
12,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",3257.8
13,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",959.6
14,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",165.7
15,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
16,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has at Least 3 Gallons or 24 Bottles of Water Per Person",
17,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
18,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",2964.7
19,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1263.5
20,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",155.0
21,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
22,"AHS",2017,"Los Angeles-Long Beach","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Communication Plan if Cell Service Disrupted",
