Row Order,"Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
1,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","   Total",7428.0
2,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
3,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Generator Present",
4,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
5,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    1-unit buildings or multiunit buildings with 2 to 4 units",4531.1
6,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",870.9
7,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",3642.1
8,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",181.4
9,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
10,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Enough Non-Perishable Food for at Least 3 Days",
11,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
12,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",5790.1
13,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1503.7
14,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",150.1
15,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
16,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has at Least 3 Gallons or 24 Bottles of Water Per Person",
17,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
18,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",4687.3
19,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",2609.1
20,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",147.5
21,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
22,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Communication Plan if Cell Service Disrupted",
23,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
24,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",5184.5
25,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1400.7
26,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",3664.3
27,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",125.1
28,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
29,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Agreed-Upon Meeting Location",
30,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
31,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",5184.5
32,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1631.5
33,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",3439.9
34,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",118.6
35,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
36,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Prepared Emergency Evacuation Kit",
37,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
38,"AHS",2017,"New York City","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",3805.0
