"Row Order","Survey","Survey Year","Area","Table Description","Tenure Filter","Geography Filter","Characteristics","Metric: Estimate"
1,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","   Total",1685.6
2,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
3,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Generator Present",
4,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
5,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    1-unit buildings or multiunit buildings with 2 to 4 units",1398.3
6,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",120.1
7,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",1237.3
8,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",29.4
9,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
10,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Enough Non-Perishable Food for at Least 3 Days",
11,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
12,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1307.7
13,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",340.4
14,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",20.6
15,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
16,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has at Least 3 Gallons or 24 Bottles of Water Per Person",
17,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
18,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",1097.6
19,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",553.9
20,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported","S"
21,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
22,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Communication Plan if Cell Service Disrupted",
23,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
24,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",1279.0
25,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Yes",301.7
26,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","No",938.3
27,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Not reported",20.8
28,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
29,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","Household Has Agreed-Upon Meeting Location",
30,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE",,
31,"AHS",2017,"Phoenix","Emergency and Disaster Preparedness - All Occupied Units","NONE","NONE","    2-or-more-person households",1279.0
